filename,0.001bar,0.002bar,0.005bar,0.01bar,0.02bar,0.05bar,0.1bar,0.2bar,0.5bar,1bar,LCD,Density_g_cm3,SA_m2_g,AV_cm3_g,Henry
ic300665a_si_002_clean,0.00032686,0.000760843,0.001680996,0.003546022,0.007146978,0.017455436,0.033658365,0.067138192,0.165811531,0.311577465,6.76851,1.068561562,1226.88,0.529874,3.49699E-06
ic400777c_si_002_clean,0.000759898,0.00136849,0.003523777,0.007121526,0.014011047,0.035806008,0.068192474,0.135776356,0.320324066,0.589741666,6.92734,1.345807707,1129.98,0.418931,7.10389E-06
ic402058f_si_003_clean,0.000754066,0.001603987,0.003888551,0.008230819,0.015624498,0.039498986,0.078064976,0.151621533,0.360836436,0.634444079,5.34889,1.32745112,806.748,0.398059,8.01994E-06
ic402058f_si_004_clean,0.000648624,0.001345177,0.003431638,0.006850496,0.0134294,0.033412142,0.066805113,0.130175392,0.308777142,0.55822273,5.82311,1.286286168,916.891,0.423237,6.81680E-06
ic402058f_si_005_clean,0.000613477,0.001277279,0.003254305,0.006604466,0.012720067,0.031790581,0.06201392,0.117270004,0.279575467,0.478943581,5.71457,1.404875269,592.009,0.34893,6.38182E-06
ic402280p_si_002_clean,4.64599E-05,0.000121511,0.000293055,0.000620061,0.001250844,0.00287694,0.006104116,0.011874079,0.029698598,0.057876528,4.83974,1.846662477,164.863,0.237183,5.94493E-07
ic5011133_si_003_clean,0.000308004,0.000636889,0.001848023,0.003330618,0.007052766,0.016256339,0.033332281,0.066220827,0.162678234,0.32292898,6.22091,1.016499707,1822.74,0.616036,3.35850E-06
ic501898x_si_005_clean,0.000327589,0.000629438,0.001687082,0.003406922,0.006507315,0.016196919,0.031535087,0.063152072,0.15410706,0.296151838,4.55913,1.386012503,569.263,0.342423,3.25989E-06
ic502725y_si_004_clean,0.000194617,0.000309392,0.000928175,0.001621811,0.003493132,0.008293694,0.0174457,0.034891401,0.084379104,0.164706175,9.62394,1.570971951,1304.34,0.405099,1.72206E-06
ic502730y_si_002_clean,0.000316454,0.000781034,0.001582268,0.003440591,0.006908113,0.016785504,0.034163516,0.066637035,0.162737915,0.320365442,6.89356,1.030236011,1582.54,0.607627,3.36857E-06
ic5b00535_si_002_clean,0.000340431,0.000550232,0.001464645,0.003055962,0.006270264,0.015849834,0.031470075,0.061637804,0.15457151,0.308988639,17.88281,0.59818991,3015.8,1.25211,3.12063E-06
ic700893w-file001_clean,0.000259334,0.000565215,0.00143631,0.002982338,0.005954701,0.014509388,0.029447674,0.057691774,0.127814941,0.238896208,4.64861,1.965664854,242.871,0.198508,2.99240E-06
ic7025158-file001_clean,0.000123175,0.000221714,0.000463136,0.001212038,0.002581739,0.00599121,0.011977494,0.023930352,0.059779074,0.118080054,6.29254,1.825221716,1196.75,0.363901,1.19872E-06
ic801404p_si_001_clean,0.000828707,0.001591117,0.004255408,0.008792577,0.017203949,0.043589966,0.083902398,0.161958271,0.367904288,0.674587878,4.72729,1.215164635,590.14,0.385956,8.50373E-06
ICAQIO_clean,0.00046806,0.00062408,0.001852738,0.003939505,0.007547468,0.017766779,0.033778333,0.06993597,0.175444503,0.347710098,20.39112,0.403490385,4745.53,2.04912,3.48217E-06
ICAWUF_clean,0.000263236,0.000567907,0.001503858,0.002968718,0.005959372,0.014811903,0.029548248,0.059844768,0.146096012,0.280248907,8.09105,1.034385753,1315.18,0.552602,2.99437E-06
ICIKEL_clean,5.60121E-05,0.000100822,0.000294464,0.000542517,0.001115441,0.002587758,0.005165914,0.010727114,0.02623446,0.051179041,9.47336,1.63124085,512.034,0.308468,5.20109E-07
ICIVAS_clean,0.000414845,0.000798466,0.002145597,0.004045856,0.008372736,0.02150504,0.041475598,0.081541615,0.194740825,0.365032548,5.79063,1.334909033,726.464,0.341894,4.24303E-06
ICORAV_ion_b,9.17121E-05,0.000192159,0.000576476,0.00123593,0.002183622,0.005638113,0.01098362,0.022080788,0.05482202,0.10720275,4.97918,1.760865803,595.709,0.272019,1.13495E-06
IDAGOL_clean,0.000030404,7.22096E-05,0.000144419,0.000387651,0.000748699,0.001797638,0.00362188,0.006704089,0.017809162,0.036302414,3.78397,1.491304196,128.892,0.292369,3.56786E-07
IDAGUR_clean,6.91485E-05,0.000191175,0.00046777,0.000955877,0.001842605,0.00486887,0.009631984,0.019987994,0.048684637,0.095067034,4.21795,1.383328221,366.493,0.314315,9.84453E-07
IDEYOF_clean,0.000261075,0.000724273,0.001928586,0.003806642,0.007444849,0.017171999,0.037081074,0.070338662,0.177042547,0.352105977,10.03153,0.428810947,5779.04,1.88288,3.56288E-06
IDIWIB_clean,0.000331359,0.000683005,0.001825855,0.003915445,0.006748901,0.017697268,0.035218713,0.070403614,0.170460465,0.335828824,6.62997,1.047221279,1534.25,0.584403,3.58437E-06
IDUDIW_clean,0.000422481,0.00082452,0.001826209,0.004258883,0.008694935,0.021382999,0.043242993,0.083256049,0.210974835,0.399237899,4.41225,1.093692628,1312.27,0.527571,4.28995E-06
IFAGON_clean,0.00041346,0.001006253,0.002261578,0.004259138,0.008468462,0.022132576,0.04285042,0.086248799,0.210944417,0.413983276,7.26408,0.928529923,1829.96,0.670501,4.39292E-06
IFEHUY_clean,0.000136366,0.000396701,0.000973158,0.001871935,0.003712877,0.010196465,0.019258612,0.038294079,0.092958287,0.186846343,11.31643,1.03696775,1537.82,0.622755,1.91828E-06
IFENOY_clean,6.08587E-05,0.000135242,0.000317818,0.000581539,0.001315224,0.003080126,0.005879626,0.01240165,0.03046992,0.060889124,7.29661,1.349358643,405.234,0.33452,6.15051E-07
IFEPIT_clean,1.6997E-06,5.0991E-06,3.05945E-05,4.75914E-05,9.17835E-05,0.000282149,0.000494611,0.001131996,0.002767101,0.005180667,3.789,5.180174336,23.0752,0.0762523,5.24178E-08
IFUDES_charged,0,0,5.9947E-06,0,8.9921E-06,3.29711E-05,5.39526E-05,0.000119895,0.000203821,0.000527537,3.34714,1.812194006,0.0615305,0.24258,5.14242E-09
